address,name,category,status,file,notes
0x1f801014,SPU_DELAY,hardware_reg,MATCHED,,
0x1f801048,JOY_MCD_MODE,hardware_reg,MATCHED,,
0x1f801080,DMA_MDEC_IN_MADR,hardware_reg,MATCHED,,
0x1f801084,DMA_MDEC_IN_BCR,hardware_reg,MATCHED,,
0x1f801090,DMA_MDEC_OUT_MADR,hardware_reg,MATCHED,,
0x1f801094,DMA_MDEC_OUT_BCR,hardware_reg,MATCHED,,
0x1f8010b0,DMA_CDROM_MADR,hardware_reg,MATCHED,,
0x1f8010b4,DMA_CDROM_BCR,hardware_reg,MATCHED,,
0x1f8010c0,DMA_SPU_MADR,hardware_reg,MATCHED,,
0x1f8010c4,DMA_SPU_BCR,hardware_reg,MATCHED,,
0x1f8010c8,DMA_SPU_CHCR,hardware_reg,MATCHED,,
0x1f8010d0,DMA_PIO_MADR,hardware_reg,MATCHED,,
0x1f8010d8,DMA_PIO_CHCR,hardware_reg,MATCHED,,
0x1f8010e0,DMA_OTC_MADR,hardware_reg,MATCHED,,
0x1f8010e4,DMA_OTC_BCR,hardware_reg,MATCHED,,
0x1f8010e8,DMA_OTC_CHCR,hardware_reg,MATCHED,,
0x1f801100,TMR_DOTCLOCK_VAL,hardware_reg,MATCHED,,
0x1f801104,TMR_DOTCLOCK_MODE,hardware_reg,MATCHED,,
0x1f801108,TMR_DOTCLOCK_MAX,hardware_reg,MATCHED,,
0x1f801114,TMR_HRETRACE_MODE,hardware_reg,MATCHED,,
0x1f801120,TMR_SYSCLOCK_VAL,hardware_reg,MATCHED,,
0x1f801124,TMR_SYSCLOCK_MODE,hardware_reg,MATCHED,,
0x1f801128,TMR_SYSCLOCK_MAX,hardware_reg,MATCHED,,
0x1f801820,MDEC_REG0,game,TODO,,
0x1f801c04,VOICE_00_ADPCM_SAMPLE_RATE,game,TODO,,
0x1f801c06,VOICE_00_ADPCM_START_ADDR,game,TODO,,
0x1f801c0c,VOICE_00_ADSR_CURR_VOLUME,game,TODO,,
0x1f801c14,VOICE_01_ADPCM_SAMPLE_RATE,game,TODO,,
0x1f801c16,VOICE_01_ADPCM_START_ADDR,game,TODO,,
0x1f801c18,VOICE_01_ADSR_ATT_DEC_SUS_REL,game,TODO,,
0x1f801d80,SPU_MAIN_VOL_L,hardware_reg,MATCHED,,
0x1f801d82,SPU_MAIN_VOL_R,hardware_reg,MATCHED,,
0x1f801d84,SPU_REVERB_OUT_L,hardware_reg,MATCHED,,
0x1f801d86,SPU_REVERB_OUT_R,hardware_reg,MATCHED,,
0x1f801da8,SOUND_RAM_DATA_TRANSFER_FIFO,hardware_reg,MATCHED,,
0x1f801dac,SOUND_RAM_DATA_TRANSTER_CTRL,hardware_reg,MATCHED,,
0x1f801db0,CD_VOL_L,hardware_reg,MATCHED,,
0x1f801db2,CD_VOL_R,hardware_reg,MATCHED,,
0x1f801db4,EXT_VOL_L,hardware_reg,MATCHED,,
0x1f801db6,EXT_VOL_R,hardware_reg,MATCHED,,
0x1f801db8,CURR_MAIN_VOL_L,hardware_reg,MATCHED,,
0x1f801dba,CURR_MAIN_VOL_R,hardware_reg,MATCHED,,
0x20000010,gte_ldv3c,sdk,MATCHED,,
0x20000020,gte_ldrgb,sdk,MATCHED,,
0x20000024,gte_ldrgb3,sdk,MATCHED,,
0x2000002c,gte_ldlv0,sdk,MATCHED,,
0x20000030,gte_ldlvl,sdk,MATCHED,,
0x20000068,gte_ldopv2,sdk,MATCHED,,
0x200000a8,gte_SetColorMatrix,sdk,MATCHED,,
0x200000d0,gte_stsxy,sdk,MATCHED,,
0x200000d8,gte_stsxy3c,sdk,MATCHED,,
0x200000f4,gte_stsxy3_g3,sdk,MATCHED,,
0x20000114,gte_stflg,sdk,MATCHED,,
0x20000128,gte_stsz3c,sdk,MATCHED,,
0x2000012c,gte_stsz4c,sdk,MATCHED,,
0x2000013c,gte_stlvl,sdk,MATCHED,,
0x20000160,gte_strgb,sdk,MATCHED,,
0x20000164,gte_strgb3,sdk,MATCHED,,
0x20000190,gte_stlzc,sdk,MATCHED,,
0x20000260,gte_ApplyRotMatrix,sdk,MATCHED,,
0x80010000,DAT_80010000,game,TODO,,
0x80010004,DAT_80010004,game,TODO,,
0x80010b40,DAT_80010b40,game,TODO,,
0x80012790,DAT_80012790,game,TODO,,
0x80012ad8,DAT_80012ad8,game,TODO,,
0x80012cd8,DAT_80012cd8,game,TODO,,
0x80013808,DAT_80013808,game,TODO,,
0x80013b10,DAT_80013b10,game,TODO,,
0x80014b48,DAT_80014b48,game,TODO,,
0x80014cf8,DAT_80014cf8,game,TODO,,
0x80015aec,DAT_80015aec,game,TODO,,
0x80016660,DAT_80016660,game,TODO,,
0x80016afc,DAT_80016afc,game,TODO,,
0x80016e60,DAT_80016e60,game,TODO,,
0x800175e8,DAT_800175e8,game,TODO,,
0x80017c3c,DAT_80017c3c,game,TODO,,
0x80017d78,DAT_80017d78,game,TODO,,
0x800185d8,DAT_800185d8,game,TODO,,
0x800188a0,DAT_800188a0,game,TODO,,
0x80018abc,DAT_80018abc,game,TODO,,
0x80018c68,DAT_80018c68,game,TODO,,
0x80018e28,DAT_80018e28,game,TODO,,
0x80019660,DAT_80019660,game,TODO,,
0x80019968,DAT_80019968,game,TODO,,
0x80019d88,DAT_80019d88,game,TODO,,
0x8001a4b8,DAT_8001a4b8,game,TODO,,
0x8001a900,DAT_8001a900,game,TODO,,
0x8001aa9c,DAT_8001aa9c,game,TODO,,
0x8001ac7c,DAT_8001ac7c,game,TODO,,
0x8001ae28,DAT_8001ae28,game,TODO,,
0x8001b8bc,DAT_8001b8bc,game,TODO,,
0x8001bbfc,DAT_8001bbfc,game,TODO,,
0x8001bc2c,DAT_8001bc2c,game,TODO,,
0x8001bc30,DAT_8001bc30,game,TODO,,
